8.7247,2.1367,3.8272,0.29438,-0.25168,-0.1506,-0.57701,0.10863,-0.6968,8.5859,3.5114,1.5754,0.49183,-0.22365,0.53161,-0.53226,-0.47606,-0.59437,9.2185,-2.7735,3.0577,0.30097,-0.014099,-0.48832,-0.48378,0.72709,-0.25617,-11.648,0.11199,0.46356,-1.69,0.41108,1.5527,0.79388,-0.42656,0.1922,-9.7377,-0.43419,-1.4612,-0.2912,0.061837,0.32004,0.80032,0.43725,-0.16628
8.6209,2.0501,3.4529,0.23001,-0.26009,-0.13245,-0.58647,0.097419,-0.69026,8.4998,3.7656,1.644,0.25234,-0.38139,0.65014,-0.55031,-0.47191,-0.58204,8.4684,-2.7617,2.716,0.02938,-0.051385,-0.37852,-0.49204,0.71719,-0.26168,-10.9,-1.1625,1.1176,-1.2676,0.43667,1.678,0.76272,-0.48477,0.17663,-9.5282,-0.49462,-1.5474,-0.34764,0.06188,0.29115,0.80452,0.42985,-0.15922
8.9343,2.0483,3.2762,0.20865,-0.34377,-0.10109,-0.59622,0.089638,-0.68402,9.087,3.7972,1.6186,0.16832,-0.42131,0.70586,-0.5739,-0.46083,-0.57105,8.4885,-3.0212,2.5082,-0.094442,-0.023274,-0.34241,-0.50261,0.71181,-0.26082,-10.089,-1.9848,1.2848,-0.47624,0.14824,1.5717,0.72734,-0.54028,0.17056,-9.9747,1.0451,-1.267,-0.41729,0.078868,0.297,0.81052,0.42296,-0.14864
9.0687,2.077,3.2327,0.19724,-0.24097,-0.061406,-0.60466,0.082541,-0.67536,9.3614,3.7726,1.6785,0.25035,-0.35161,0.59712,-0.59383,-0.45218,-0.55943,8.4349,-3.072,2.5351,-0.6035,0.10117,-0.32509,-0.51139,0.70897,-0.25146,-8.8482,-0.72061,1.3984,-0.30541,0.19497,1.552,0.68895,-0.5871,0.16624,-9.6625,-0.436,-1.0416,-0.23429,-0.076365,0.47814,0.81665,0.41216,-0.14415
9.0529,1.9801,3.411,0.23849,-0.098035,-0.009065,-0.61008,0.075034,-0.67158,9.3395,3.9367,1.8347,0.2689,-0.27584,0.37331,-0.61399,-0.44323,-0.54486,8.0845,-3.5884,3.0595,-1.0688,0.16437,-0.26471,-0.5205,0.71141,-0.22868,-8.4599,0.80235,1.5771,-0.27846,0.23515,1.3576,0.64635,-0.63604,0.16351,-9.768,-0.523,-1.6561,-0.34388,0.025793,0.40678,0.82285,0.39656,-0.14316
8.9182,1.9068,3.4915,0.35904,-0.018127,0.068263,-0.61228,0.067966,-0.67136,9.2523,3.8776,2.0258,0.30183,-0.17611,0.16726,-0.62308,-0.44326,-0.53673,7.7837,-4.4662,3.3025,-0.88377,0.081428,-0.22863,-0.52753,0.7158,-0.20423,-8.5692,1.5681,1.244,-0.54541,0.20014,1.0336,0.61379,-0.66873,0.15573,-9.7804,0.8201,-1.2568,-0.49521,0.070944,0.45263,0.83126,0.38576,-0.13552
8.7401,2.0417,3.4538,0.4751,0.068056,0.14555,-0.61151,0.058866,-0.67192,9.0817,3.7317,2.1165,0.38636,-0.040487,0.03208,-0.6255,-0.44745,-0.52984,7.3706,-4.8273,2.7696,-0.32825,-0.11484,-0.23472,-0.5316,0.71773,-0.18815,-8.343,2.1358,0.19017,-0.61658,0.22449,0.63586,0.59198,-0.68953,0.14624,-9.5872,-0.24217,-1.0398,-0.49116,-0.02112,0.59849,0.83926,0.37163,-0.12526
8.3607,2.2665,3.5866,0.54483,0.12035,0.21106,-0.6077,0.049028,-0.67446,8.8031,3.6951,2.1753,0.46597,0.10357,-0.047888,-0.62423,-0.45831,-0.52236,7.3811,-4.7939,1.801,0.15495,-0.36367,-0.27616,-0.54146,0.71113,-0.18299,-7.8656,3.7416,0.36305,-0.80205,0.51487,0.41936,0.57402,-0.70334,0.135,-9.6036,-0.85304,-1.475,-0.50502,0.001577,0.56976,0.84728,0.35382,-0.11725
8.1825,2.4895,3.7359,0.55539,0.10306,0.26587,-0.60558,0.040973,-0.67682,8.7783,3.7027,2.1023,0.42639,0.19373,-0.052422,-0.61901,-0.46802,-0.51803,8.4496,-5.716,4.9772,0.61247,-0.17819,0.02871,-0.54536,0.70771,-0.18608,-8.0408,4.1051,2.9396,-1.1152,0.53284,0.019948,0.56359,-0.71763,0.12054,-9.5432,-0.55467,-1.4433,-0.56039,-0.075615,0.57477,0.85537,0.33705,-0.11156
8.3541,2.4884,3.6701,0.49437,0.051781,0.28608,-0.60153,0.031649,-0.67975,8.7313,3.6163,1.9267,0.29741,0.2492,0.005821,-0.6135,-0.47672,-0.51757,7.8705,-4.2981,4.0294,0.58238,-0.066488,0.051856,-0.54769,0.70308,-0.2029,-8.9685,4.305,2.6657,-0.87757,0.32097,0.23826,0.55222,-0.72822,0.093915,-9.7996,-1.2006,-2.2112,-0.49361,0.13289,0.23423,0.86079,0.32459,-0.10655
