8.1305,1.0349,5.4217,-0.009461,0.001915,-0.003424,-0.78712,-0.069654,0.1573,0.70097,5.6829,7.9812,0.003876,-0.005213,-0.001168,-0.57285,-0.55907,-0.21226,3.4193,-8.3416,3.8627,-0.005155,-0.008437,-0.0156,-0.64769,0.34136,0.073549,-3.516,9.0513,-0.93283,0.004734,0.007949,-0.013605,0.72985,-0.25366,-0.036453,-2.8071,-9.0812,2.622,-0.000232,-0.012092,-0.004457,0.74017,0.30053,-0.05773
8.1305,1.0202,5.3843,-0.009368,0.023485,0.001953,-0.78717,-0.068275,0.1589,0.71829,5.6005,7.9712,0.012862,-0.005241,-0.003029,-0.57306,-0.55684,-0.21335,3.434,-8.3708,3.8537,-0.014302,-0.001877,-0.004997,-0.64838,0.3424,0.074865,-3.5386,9.0812,-0.93332,0.014458,0.002668,-0.01187,0.73172,-0.25236,-0.034005,-2.8146,-9.0737,2.6218,-0.014784,-0.016477,0.002789,0.73937,0.30183,-0.057514
8.1604,1.0201,5.3622,0.015046,0.01433,0.000204,-0.78664,-0.068277,0.15879,0.69849,5.6612,7.9568,0.021639,-0.010421,0.011992,-0.57357,-0.55788,-0.21336,3.4291,-8.3757,3.8757,0.000126,-0.008308,-0.012062,-0.64821,0.34099,0.073155,-3.5385,9.0662,-0.9258,-0.009606,0.010623,-0.008289,0.72914,-0.25249,-0.036489,-2.8221,-9.0886,2.6366,-0.01277,0.005717,-0.007918,0.73955,0.30052,-0.057219
8.1603,1.0052,5.377,0.006892,0.018045,0.005649,-0.78529,-0.069849,0.15912,0.72799,5.6393,7.9763,0.01644,0.001875,0.002322,-0.60463,-0.56833,-0.24523,3.4437,-8.3271,3.8286,9.2e-05,0.003542,-0.011145,-0.64841,0.34125,0.074143,-3.5385,9.0587,-0.9408,0.000949,0.007971,-0.003015,0.7308,-0.25176,-0.036151,-2.8071,-9.0811,2.607,-0.005725,0.00962,0.006555,0.74029,0.30184,-0.05775
8.1605,1.0275,5.3473,0.008811,0.030433,-0.005346,-0.78742,-0.068796,0.15916,0.71572,5.6441,7.9714,0.000286,-0.003408,0.002425,-0.56864,-0.5599,-0.21383,3.4486,-8.3709,3.8466,-0.012524,0.003591,-0.00498,-0.64909,0.34152,0.075607,-3.5311,9.0812,-0.93317,-0.009898,-0.002577,0.003975,0.73035,-0.25235,-0.033807,-2.8146,-9.0737,2.6218,-0.003929,-0.008371,0.002816,0.73845,0.3009,-0.057527
8.1454,1.0201,5.3919,0.007001,0.029523,-0.00808,-0.78716,-0.070603,0.15905,0.71323,5.6611,7.9714,0.012768,-0.015835,-0.002188,-0.56927,-0.55966,-0.21335,3.4437,-8.3563,3.8609,-0.007098,-9.4e-05,-0.008514,-0.64811,0.342,0.075141,-3.5608,9.0585,-0.91873,0.000952,0.013264,-0.002976,0.72932,-0.25278,-0.035693,-2.8072,-9.0886,2.607,-0.014559,0.0165,-0.00604,0.74009,0.30065,-0.056939
8.1454,1.0495,5.4518,-0.00571,0.014217,-0.021708,-0.7872,-0.067744,0.15836,0.71813,5.6466,7.9617,0.016329,-0.005132,0.009398,-0.56549,-0.55804,-0.21032,3.4389,-8.3903,3.8492,0.000106,-0.014629,-0.010307,-0.64737,0.34107,0.074829,-3.531,9.0662,-0.93315,0.007318,0.006195,-0.010084,0.73044,-0.2518,-0.034855,-2.8076,-9.0893,2.6085,-0.012902,0.009463,-0.002449,0.73886,0.30164,-0.057682
8.1376,0.99744,5.5111,0.010574,0.030563,0.002868,-0.7869,-0.069828,0.15892,0.72801,5.6392,7.9812,-0.006897,-0.001599,0.006052,-0.56541,-0.55911,-0.20899,3.434,-8.3562,3.8485,-0.003522,-0.002787,-0.008518,-0.64794,0.34149,0.073532,-3.531,9.0662,-0.93315,-0.000892,0.007091,-0.000372,0.73053,-0.25227,-0.036162,-2.8075,-9.0743,2.6085,-0.012781,0.009279,-0.011496,0.74074,0.30046,-0.055743
8.1307,1.0646,5.3921,-0.009296,0.030531,-0.008107,-0.78717,-0.069696,0.15891,0.71331,5.6296,7.9689,0.007561,0.005373,-0.002926,-0.56444,-0.55778,-0.21,3.4242,-8.3513,3.8483,-0.00893,-0.003669,-0.005879,-0.64847,0.34175,0.075507,-3.5459,9.0661,-0.91094,-0.000814,0.000935,-0.004826,0.72903,-0.25214,-0.035708,-2.815,-9.0893,2.6233,0.010693,0.012951,-0.011525,0.73943,0.30124,-0.057126
8.1155,1.0202,5.4215,0.005122,0.027022,0.005606,-0.78643,-0.069156,0.15773,0.7132,5.6708,7.9715,0.011165,0.000889,-0.010087,-0.57443,-0.56112,-0.21789,3.4487,-8.4098,3.8644,-0.014293,-0.005524,-0.005005,-0.64945,0.34179,0.076084,-3.5385,9.0662,-0.9258,0.018665,-0.002613,-0.00132,0.73101,-0.25195,-0.034565,-2.8076,-9.0893,2.6085,-0.009302,-0.010316,-0.006208,0.73752,0.30176,-0.057727
