8.8605,-0.035084,-0.085843,1.7061,-0.017052,0.42271,-0.82737,-0.09901,-0.7021,0.92063,6.0206,11.155,0.29815,-1.3252,1.2829,0.18466,-0.68037,-0.87733,5.611,-10.242,4.7953,-0.18978,-1.8797,2.8847,0.57466,0.50406,-1.0107,-17.91,4.1286,-3.7063,-1.5818,0.46382,-3.8095,0.40857,-0.55595,0.071733,-14.545,11.887,-2.0563,0.41074,0.093286,-3.1285,0.40162,0.61804,0.056688
8.3985,-0.15839,5.7744,1.5591,1.7694,0.30381,-0.80841,-0.088525,-0.7218,-0.24982,6.0773,6.0788,-0.98394,-1.8556,0.78963,0.086739,-0.66339,-0.91752,6.3786,-4.5895,1.8504,-0.15058,-2.3224,2.1375,0.48819,0.41311,-1.0282,-11.017,6.3942,0.90132,-0.67303,-0.27233,-3.034,0.49502,-0.46735,0.062633,-6.4928,14.038,-6.2922,-2.6615,-0.031155,-1.3645,0.35798,0.62292,0.079768
2.8137,1.2272,0.23466,1.7626,2.4763,0.11422,-0.72403,-0.17009,-0.78053,1.6854,6.1744,4.0496,-1.2416,-1.4758,0.22587,0.02179,-0.6249,-0.95903,8.0273,-1.4098,-0.57851,-0.17158,-2.3558,1.7788,0.39696,0.37761,-1.0468,-12.374,11.618,4.0045,-0.10443,0.30106,-2.7058,0.53947,-0.3873,0.084776,0.18883,4.0651,4.103,0.35955,0.35341,0.36571,0.34941,0.62841,0.086524
2.0306,0.76172,-0.37121,2.1607,1.8146,0.06459,-0.65297,-0.21263,-0.82331,4.7086,2.9203,5.0206,-3.9222,-1.2768,-0.98331,-0.017113,-0.51827,-1.0274,7.0129,-0.60679,-1.3511,-0.55318,-1.9788,1.1951,0.32203,0.37806,-1.0555,-1.1884,17.161,1.8824,0.87494,-0.65197,-1.4199,0.56628,-0.33257,0.1025,3.5765,-19.67,9.0268,1.7059,1.0245,-0.31018,0.36874,0.62296,0.071263
0.57222,1.2185,-0.5136,0.85989,2.2406,-0.66874,-0.56402,-0.30562,-0.85491,2.0735,0.86336,8.2128,-4.1568,-0.033165,-1.7517,-0.003275,-0.33754,-1.1006,6.9648,-1.8655,0.50622,-0.75181,-0.81538,-0.092316,0.26111,0.44973,-1.0466,0.3232,6.2804,1.2043,1.5357,-0.43373,0.001777,0.56079,-0.31812,0.10795,-3.04,-1.2582,-3.0628,2.2206,1.4173,-0.075195,0.34991,0.63638,0.04057
2.4813,-1.04,0.93368,-2.0242,2.0002,-1.3317,-0.47533,-0.29066,-0.91281,2.5175,1.0302,7.3171,-2.5509,1.1421,-1.6554,0.04304,-0.18896,-1.1385,5.6662,-5.5848,4.8422,0.94852,0.24097,-1.3572,0.25075,0.46641,-1.0361,-6.2013,6.3506,-0.24735,2.1807,0.074402,0.98675,0.56468,-0.34987,0.097234,-4.1035,4.1164,3.7169,-0.25184,-1.2116,0.22301,0.33795,0.64488,0.04505
9.8952,1.6341,6.5734,0.17509,-4.7818,0.21269,-0.5286,-0.19549,-0.90789,5.7424,2.5334,8.7193,0.34055,1.5741,-0.81094,0.093578,-0.12836,-1.1503,5.0608,-6.8059,11.28,-3.4473,1.195,-1.7688,0.28266,0.5106,-0.99746,-30.356,4.6962,3.0205,-0.44508,0.18591,3.088,0.55099,-0.42943,0.07862,-13.484,8.4725,9.554,-2.7583,-1.2389,-1.3407,0.29204,0.66708,0.061794
16.193,5.1684,6.8083,-1.033,-7.9786,1.5561,-0.74324,-0.17116,-0.74267,-0.30035,2.6104,7.0105,2.1603,1.6061,-0.40714,0.17325,-0.19634,-1.1214,1.0003,-18.831,11.305,-5.1105,2.3072,-1.4669,0.34907,0.74419,-0.82991,-17.568,-1.8629,-1.7723,-1.2544,0.97267,3.1585,0.48287,-0.53347,0.043275,-9.4892,33.38,-9.3013,-2.0357,1.5247,2.2601,0.28106,0.65976,0.14385
19.44,0.40686,5.2947,2.4502,3.0346,-2.3195,-0.82256,-0.12663,-0.66351,1.9733,3.396,11.864,3.899,0.61255,0.46307,0.20935,-0.34254,-1.0637,-1.8467,-19.611,11.07,0.89779,1.9595,-1.7115,0.39263,0.82094,-0.76057,-25.781,-10.556,-3.9686,-0.84648,-0.12603,3.3664,0.3692,-0.63128,0.014538,-20.678,-10.706,-16.37,1.7627,0.1475,2.5757,0.41006,0.60103,0.12924
13.801,3.16,6.21,-2.2386,-0.56797,-0.60811,-0.83906,-0.1058,-0.67727,-2.7879,6.5402,14.542,3.5455,-0.15085,0.99156,0.20636,-0.54106,-0.96669,-2.1832,-11,8.1035,-0.18002,1.9285,-1.7447,0.40858,0.86605,-0.75484,-13.816,-12.407,-1.8805,-0.025613,0.002904,3.6437,0.2206,-0.70652,0.033504,-15.778,2.3757,-6.2863,1.0049,-0.88571,3.7412,0.48965,0.56059,0.093703
